user_id,event_timestamp,event_type,event_weight
user_1720,2026-01-14 05:00:00,feature_use,1.0
user_718,2026-03-10 12:00:00,export,1.0
user_465,2025-11-08 03:00:00,login,1.0
user_98,2026-06-08 15:00:00,feature_use,1.0
user_1265,2026-06-28 20:00:00,login,1.0
user_157,2025-11-25 23:00:00,setting_change,1.0
user_609,2026-02-13 01:00:00,setting_change,1.0
user_553,2026-03-14 05:00:00,export,1.0
user_650,2025-09-19 04:00:00,login,1.0
user_1818,2026-02-27 03:00:00,setting_change,1.0
user_919,2025-09-17 12:00:00,login,1.0
user_226,2026-01-19 12:00:00,setting_change,1.0
user_422,2026-06-07 09:00:00,feature_use,1.0
user_1095,2026-04-13 15:00:00,export,1.0
user_242,2025-10-19 10:00:00,export,1.0
user_529,2026-01-28 17:00:00,login,1.0
user_1612,2025-12-24 01:00:00,setting_change,1.0
user_1068,2026-02-22 03:00:00,setting_change,1.0
user_1495,2025-10-26 17:00:00,feature_use,1.0
user_370,2025-12-08 15:00:00,login,1.0
user_1878,2025-10-28 10:00:00,feature_use,1.0
user_651,2025-11-08 07:00:00,feature_use,1.0
user_688,2025-11-13 07:00:00,feature_use,1.0
user_733,2026-05-28 00:00:00,setting_change,1.0
user_1950,2026-02-10 04:00:00,login,1.0
user_91,2026-05-25 21:00:00,setting_change,1.0
user_1045,2026-04-27 15:00:00,export,1.0
user_171,2026-06-11 22:00:00,setting_change,1.0
user_1627,2026-07-07 13:00:00,setting_change,1.0
user_1215,2025-09-15 23:00:00,export,1.0
user_1100,2026-01-27 13:00:00,feature_use,1.0
user_1304,2025-10-16 03:00:00,setting_change,1.0
user_1387,2026-06-06 04:00:00,export,1.0
user_178,2026-03-10 20:00:00,login,1.0
user_237,2026-03-15 20:00:00,export,1.0
user_1158,2026-06-11 01:00:00,login,1.0
user_876,2026-01-08 11:00:00,export,1.0
user_901,2025-10-17 13:00:00,login,1.0
user_279,2026-08-06 16:00:00,setting_change,1.0
user_1042,2026-04-28 02:00:00,feature_use,1.0
user_1618,2025-10-20 02:00:00,feature_use,1.0
user_739,2025-09-14 20:00:00,export,1.0
user_370,2025-12-12 12:00:00,login,1.0
user_1800,2026-03-15 11:00:00,export,1.0
user_1135,2026-03-21 18:00:00,feature_use,1.0
user_1786,2025-09-09 06:00:00,setting_change,1.0
user_1699,2025-08-22 09:00:00,setting_change,1.0
