user_id,week_start,event_count,distinct_features,days_since_last_activity,baseline,trend_slope,half_life_weeks,is_flagged
user_0,2025-11-17,3.0,2.0,1,6.25,0.0,inf,False
user_0,2025-11-24,10.0,3.0,0,6.25,6.999999999999998,inf,False
user_0,2025-12-01,10.0,4.0,1,6.25,3.4999999999999982,inf,False
user_0,2025-12-08,2.0,2.0,6,6.25,-0.3,0.0,False
user_0,2025-12-15,0.0,0.0,13,6.25,-1.3999999999999997,0.0,False
user_0,2025-12-22,0.0,0.0,20,6.25,-1.514285714285714,0.0,True
user_0,2025-12-29,0.0,0.0,27,6.25,-1.3928571428571426,0.0,True
user_0,2026-01-05,0.0,0.0,34,6.25,-1.2261904761904765,0.0,True
user_0,2026-01-12,0.0,0.0,41,6.25,-1.5000000000000009,0.0,True
user_0,2026-01-19,0.0,0.0,48,6.25,-0.9523809523809528,0.0,True
user_0,2026-01-26,0.0,0.0,55,6.25,-0.1666666666666667,0.0,True
user_0,2026-02-02,0.0,0.0,62,6.25,0.0,inf,False
user_1,2026-05-04,1.0,1.0,1,0.25,0.0,inf,False
user_1,2026-05-11,0.0,0.0,8,0.25,-0.9999999999999998,0.0,False
user_1,2026-05-18,0.0,0.0,15,0.25,-0.4999999999999998,0.0,False
user_1,2026-05-25,0.0,0.0,22,0.25,-0.2999999999999999,0.0,True
user_1,2026-06-01,1.0,1.0,2,0.25,-3.510833468576701e-17,inf,False
user_1,2026-06-08,0.0,0.0,9,0.25,-0.0571428571428572,0.0,True
user_1,2026-06-15,2.0,2.0,1,0.25,0.1428571428571428,inf,False
user_1,2026-06-22,3.0,2.0,0,0.25,0.2976190476190476,inf,False
user_1,2026-06-29,1.0,1.0,4,0.25,0.3214285714285715,inf,False
user_1,2026-07-06,0.0,0.0,11,0.25,0.1547619047619048,inf,False
user_1,2026-07-13,1.0,1.0,4,0.25,0.0714285714285714,inf,False
user_1,2026-07-20,2.0,2.0,3,0.25,0.0476190476190476,inf,False
user_1,2026-07-27,2.0,2.0,2,0.25,0.0833333333333334,inf,False
user_1,2026-08-03,1.0,1.0,6,0.25,-0.0952380952380952,9.187499999999996,False
user_1,2026-08-10,0.0,0.0,13,0.25,-0.1666666666666667,0.0,False
user_10,2025-09-22,4.0,2.0,0,5.5,0.0,inf,False
user_10,2025-09-29,6.0,3.0,0,5.5,2.0,inf,False
